label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83
A,0.848069847,0.676786363,0.808933616,0.565511286,0.730556607,0.464229792,0.665465713,0.388006598,0.626388252,0.319429368,0.711902797,0.495617926,0.618555248,0.5029248,0.634518445,0.510335624,0.666797698,0.510264874,0.702602983,0.580398858,0.608584344,0.572991252,0.628374159,0.577136219,0.664031386,0.58476615,0.697757959,0.661925197,0.609881818,0.6423527,0.632868886,0.640180826,0.668691278,0.646810055,0.694408894,0.737554669,0.61736691,0.70950228,0.637555242,0.70099771,0.666273654,0.704153061,0.326513708,0.648871779,0.370443881,0.522618592,0.458877027,0.438829035,0.547014832,0.386343718,0.606156528,0.3372958,0.490786493,0.481011748,0.607290685,0.480853438,0.573926151,0.486291885,0.529252529,0.494048715,0.497584939,0.577113986,0.605837464,0.561317325,0.579120755,0.558953047,0.540822208,0.567147136,0.499155074,0.665871024,0.595422029,0.639744878,0.568214953,0.63368094,0.532824755,0.63839066,0.497762084,0.741225541,0.573474109,0.703941762,0.546258628,0.699369907,0.517135978,0.708356261
A,0.869014323,0.644468427,0.824013174,0.534825265,0.739495873,0.430892706,0.676216304,0.350550622,0.639831305,0.280394077,0.727325559,0.473004997,0.621671498,0.510480464,0.64491713,0.510660648,0.677386522,0.498764068,0.72429657,0.563188791,0.619018257,0.57370317,0.644805551,0.573085189,0.681151807,0.572426736,0.72276473,0.646440744,0.624925792,0.639263153,0.650867462,0.637532055,0.686673582,0.636518955,0.721024215,0.721269429,0.641967177,0.700463772,0.663318992,0.697349787,0.691362143,0.699607432,0.307380855,0.599744439,0.362862319,0.470271379,0.466373533,0.393654943,0.56309998,0.346523285,0.620212913,0.288600385,0.506412446,0.464781433,0.615304887,0.466086656,0.58106035,0.459294796,0.535481215,0.46067515,0.507525325,0.562962472,0.60643971,0.541943371,0.580097735,0.529179156,0.540945232,0.536438167,0.501195133,0.648452699,0.587652624,0.616761208,0.564586103,0.600758553,0.529901445,0.605322838,0.493428469,0.717736542,0.564851522,0.67626071,0.541288197,0.6616171,0.512285411,0.669706881
A,0.877084732,0.655017793,0.83344382,0.541136622,0.746439159,0.44211939,0.680728078,0.363534153,0.642457306,0.294792145,0.739352405,0.486157268,0.630200922,0.517463028,0.654187977,0.517834008,0.689629972,0.506284237,0.738363981,0.579031706,0.627839565,0.585887611,0.652745128,0.58534646,0.689735413,0.582934916,0.737450719,0.662107587,0.632945836,0.654325008,0.658390701,0.650770009,0.695080996,0.64745456,0.736466825,0.733146548,0.653530777,0.712842941,0.675873756,0.707123995,0.706087112,0.706379771,0.298072636,0.587020278,0.362090051,0.457456589,0.469798565,0.391975582,0.567445219,0.355039895,0.626622558,0.301158547,0.508072734,0.456886888,0.616056204,0.471425265,0.57956326,0.463648319,0.53199923,0.462521642,0.504890859,0.557069004,0.604678571,0.548322976,0.577343047,0.534607053,0.536574244,0.537892401,0.495289296,0.644876719,0.582702339,0.621199727,0.558399558,0.604907155,0.522976995,0.606058717,0.48448953,0.716450214,0.557507575,0.680029929,0.533751309,0.665922642,0.50476563,0.671125293
A,0.882475436,0.655855238,0.835861325,0.547164738,0.747286439,0.446974277,0.684973836,0.371216834,0.64758867,0.30935809,0.744752109,0.490433127,0.632573366,0.528276801,0.655751407,0.529319882,0.692021728,0.516731977,0.746597826,0.583888173,0.630933285,0.597922027,0.654249191,0.597719371,0.693146288,0.592912495,0.748004258,0.666851461,0.639260352,0.666462541,0.663414896,0.664281309,0.701760888,0.658896387,0.748424351,0.738416731,0.664677858,0.724074602,0.684708476,0.718690991,0.715944409,0.716476619,0.300359368,0.578870356,0.365478277,0.455416262,0.473162174,0.391195238,0.57070595,0.356539607,0.632483244,0.309406489,0.51064533,0.445786566,0.61632967,0.468924224,0.579855263,0.464893997,0.532341003,0.461709738,0.506335378,0.545079291,0.604332566,0.548681319,0.577279627,0.539744854,0.537114263,0.541099191,0.495878249,0.635158122,0.581796408,0.625354946,0.55701369,0.612487316,0.521897495,0.61132586,0.483228922,0.711019039,0.556815147,0.686892569,0.532125175,0.673897445,0.502013624,0.67625469
A,0.882656813,0.652954996,0.832853556,0.547378123,0.744699597,0.449968755,0.682861924,0.374854028,0.650794387,0.313425839,0.74166584,0.499048382,0.63633877,0.535418391,0.660494089,0.535667717,0.695403755,0.521789253,0.745285511,0.592882276,0.632970095,0.603636444,0.656546831,0.602466762,0.69602406,0.597746849,0.747797251,0.675584495,0.642096162,0.674311459,0.665352643,0.66835165,0.703393757,0.661375999,0.74921304,0.74677217,0.667630196,0.731769323,0.685817301,0.723818123,0.715888858,0.721417785,0.301336706,0.578044713,0.366907716,0.456256777,0.474487334,0.393463492,0.571891248,0.359744638,0.633690715,0.31284225,0.513636291,0.44665733,0.619579017,0.473837376,0.583942175,0.471324474,0.536590695,0.468126416,0.507909954,0.546066701,0.60718298,0.554424167,0.580977738,0.546043336,0.540515125,0.54636085,0.495561123,0.636720896,0.583506823,0.631423056,0.558806896,0.618634462,0.523079813,0.615999043,0.480953366,0.713764489,0.556255639,0.693958402,0.532064378,0.681107879,0.501625538,0.682164013
A,0.88142246,0.646700025,0.832552969,0.544249415,0.74647522,0.446586192,0.683220983,0.373567611,0.65052551,0.312565744,0.744300485,0.499037713,0.636806726,0.53497088,0.652932227,0.537857592,0.685227394,0.526740015,0.748890281,0.591478586,0.63278687,0.603791714,0.6486305,0.60056752,0.685279608,0.593827009,0.750842631,0.673099756,0.639584124,0.675630093,0.658010066,0.665482402,0.696385264,0.656222641,0.751106143,0.744488835,0.664106786,0.730762899,0.677463531,0.718892813,0.706858099,0.713013232,0.301056743,0.578150213,0.366924822,0.454779893,0.473727882,0.393823385,0.571074963,0.360125482,0.633198142,0.311937362,0.51356566,0.446479559,0.621810615,0.476917744,0.587611496,0.474540412,0.540385306,0.470788509,0.507347345,0.547057927,0.609525084,0.55843401,0.583789647,0.549147069,0.543331921,0.548119843,0.494215488,0.638055503,0.584311426,0.6348598,0.559477031,0.621397316,0.523829699,0.618041873,0.478806019,0.715029657,0.555756688,0.696910322,0.531505108,0.683664799,0.501128614,0.683996558
A,0.872871518,0.650687039,0.826536894,0.549921393,0.743151665,0.450215816,0.683110654,0.376119435,0.651095331,0.31575641,0.738159418,0.505860269,0.631496489,0.53891468,0.641569555,0.550219357,0.673351049,0.546593487,0.742513299,0.597578228,0.626337469,0.612646103,0.630950987,0.612659097,0.66024363,0.606235802,0.745057285,0.67779243,0.634176493,0.682959557,0.646033347,0.672725379,0.682064712,0.662190855,0.746732533,0.746903956,0.660038412,0.735985696,0.667362273,0.723036766,0.69358331,0.714678943,0.298702478,0.579107463,0.365018308,0.455768645,0.472965449,0.394568861,0.570312679,0.361474216,0.631207347,0.313505977,0.511690974,0.441322744,0.618299186,0.471109688,0.585442543,0.47137031,0.538599014,0.468375027,0.506423831,0.54077673,0.606819868,0.551878035,0.581327975,0.546542645,0.54127717,0.546464741,0.49450931,0.632383764,0.583873093,0.629340053,0.558955729,0.619309068,0.523362935,0.616751373,0.480175972,0.711137712,0.555835724,0.69173646,0.530383825,0.681559563,0.500025034,0.683248341
A,0.869360566,0.658435822,0.818650365,0.554469407,0.733777642,0.457764596,0.674921751,0.379305422,0.643258929,0.310678244,0.730924189,0.510353327,0.620974004,0.554370761,0.641111791,0.551001191,0.673921525,0.53424716,0.738101244,0.601126969,0.619141996,0.623324633,0.634795904,0.613617957,0.669388056,0.603410602,0.742209613,0.6812132,0.626934767,0.68841964,0.645683229,0.675144792,0.682683468,0.664600015,0.743929565,0.750891387,0.654173255,0.743952811,0.667677283,0.72964859,0.696697056,0.722833931,0.311392725,0.571487308,0.373897374,0.450167149,0.478016973,0.388284445,0.574383438,0.35462448,0.634579182,0.309161961,0.515918553,0.43449676,0.618116796,0.464662164,0.587218463,0.467487514,0.543917239,0.464103699,0.511566818,0.53250432,0.607107818,0.544326663,0.584646285,0.540668666,0.548233151,0.540725172,0.500870228,0.623777926,0.586450934,0.621964335,0.564402461,0.611347079,0.531469405,0.607289255,0.488290012,0.701928973,0.560182512,0.682274103,0.537818015,0.67130959,0.510440826,0.671814382
A,0.865460336,0.659265518,0.816298366,0.558306575,0.732836545,0.463394582,0.675707281,0.386924952,0.645012796,0.319574535,0.733194947,0.515948534,0.623934925,0.554383993,0.642136514,0.556883812,0.675722659,0.545940638,0.739428699,0.604543865,0.618326664,0.623964965,0.635914445,0.619660437,0.67264539,0.612253904,0.742278636,0.682836413,0.626945019,0.691475689,0.64680171,0.680559754,0.684349895,0.670999527,0.742978513,0.751445889,0.652246177,0.745715618,0.66732496,0.733607888,0.69733572,0.727760136,0.316262305,0.569325328,0.37475723,0.449092001,0.479470879,0.386750191,0.575180233,0.355079055,0.635391474,0.312420249,0.513881385,0.432219207,0.619828641,0.45830062,0.589930177,0.460210413,0.54582423,0.457911611,0.509170651,0.529990435,0.60748589,0.537346184,0.586581111,0.532838762,0.549868882,0.534602284,0.499473333,0.620242655,0.586487412,0.614435852,0.56533438,0.604323089,0.53206104,0.602175653,0.489144444,0.697145224,0.56186372,0.674965441,0.539406717,0.664699256,0.511176884,0.667206228
A,0.849351585,0.673974812,0.808611214,0.57648468,0.734182596,0.487582982,0.676527679,0.43491888,0.637015104,0.418851078,0.735294282,0.516448557,0.623157144,0.554850876,0.640930951,0.55816412,0.676352203,0.549679458,0.738551736,0.603397071,0.617817998,0.62446934,0.637537479,0.620636344,0.677153647,0.615770519,0.73845005,0.682459235,0.617194176,0.691236794,0.638440609,0.68251586,0.679422855,0.675461709,0.735859454,0.75292033,0.643883526,0.749570549,0.657527566,0.737487078,0.688642383,0.730218709,0.317815483,0.574463129,0.377035618,0.457990855,0.482849747,0.393317342,0.580731511,0.35557878,0.63825345,0.313526273,0.51471889,0.430460393,0.617431402,0.458194911,0.590129375,0.468232453,0.548353314,0.464825034,0.512070715,0.5261904,0.609365821,0.540880382,0.587247968,0.542887807,0.5540815,0.542018056,0.504214585,0.617807746,0.590668142,0.6197806,0.56707865,0.61392349,0.536593676,0.61031723,0.493673146,0.697297513,0.563957989,0.681854725,0.539178133,0.673516989,0.513617635,0.673930347
